Context Feature,Bounds
FPS,"(1, 500, <class 'float'>)"
SCALE,"(1, 100, <class 'float'>)"
MAIN_ENGINE_POWER,"(0, 50, <class 'float'>)"
SIDE_ENGINE_POWER,"(0, 50, <class 'float'>)"
INITIAL_RANDOM,"(0, 2000, <class 'float'>)"
GRAVITY_X,"(-20, 20, <class 'float'>)"
GRAVITY_Y,"(-20, -0.01, <class 'float'>)"
LEG_AWAY,"(0, 50, <class 'float'>)"
LEG_DOWN,"(0, 50, <class 'float'>)"
LEG_W,"(1, 10, <class 'float'>)"
LEG_H,"(1, 20, <class 'float'>)"
LEG_SPRING_TORQUE,"(0, 100, <class 'float'>)"
SIDE_ENGINE_HEIGHT,"(1, 20, <class 'float'>)"
SIDE_ENGINE_AWAY,"(1, 20, <class 'float'>)"
VIEWPORT_W,"(400, 1000, <class 'int'>)"
VIEWPORT_H,"(200, 800, <class 'int'>)"
