Context Feature,Bounds
min_position,"(-inf, inf, <class 'float'>)"
max_position,"(-inf, inf, <class 'float'>)"
max_speed,"(0, inf, <class 'float'>)"
goal_position,"(-inf, inf, <class 'float'>)"
goal_velocity,"(-inf, inf, <class 'float'>)"
force,"(-inf, inf, <class 'float'>)"
gravity,"(0, inf, <class 'float'>)"
start_position,"(-1.5, 0.5, <class 'float'>)"
start_position_std,"(0.1, inf, <class 'float'>)"
start_velocity,"(-inf, inf, <class 'float'>)"
start_velocity_std,"(0.1, inf, <class 'float'>)"
